Articles,Cost ,Category,Article Category,Quantity,Total_Value
Push Cart With Top,133000,Bicycle & Tricycle,Bicycle & Tricycle,9,133000.0
Push Cart With Top/Iron Box,21600,Bicycle & Tricycle/Electronics,Bicycle & Tricycle/Electronics,1,21600.0
Push Cart Without Top,78000,Bicycle & Tricycle,Bicycle & Tricycle,8,104000.0
Pushcart + Idli box + MS Burner stove,21400,Bicycle & Tricycle/Kitchen,Bicycle & Tricycle/Kitchen,1,21400.0
Renovation Aid,320000,2.Aid,2.Aid,11,410000.0
Rice 1000 Kgs,60000,Miscellaneous,Miscellaneous,1,60000.0
RO water Purifier 10 Ltrs,15000,Kitchen,Kitchen,1,15000.0
S Type Chair,11210,Office Supplies,Office Supplies,5,11210.0
Sandalwood tree Sapling,20000,Agriculture,Agriculture,300,20000.0
School Furniture,53400,Office Supplies,Office Supplies,1,53400.0
Sewing Machine Heavy,536535,Sewing Machines,Sewing Machines,45,536535.0
Sewing Machine ORD,4123600,Sewing Machines,Sewing Machines,803,4175600.0
Sewing Machine ORD / Motor,1914816,Sewing Machines,Sewing Machines,304,1914816.0
Sewing Machine Overlock,67500,Sewing Machines,Sewing Machines,9,67500.0
Sewing Machine Universal ZigZag,24600,Sewing Machines,Sewing Machines,2,24600.0
Single Burner Stove,8400,Kitchen,Kitchen,4,8400.0
Steel Cupboard,136290,Office Supplies,Office Supplies,11,136290.0
Surya Gas Stove,7600,Kitchen,Kitchen,2,7600.0
Table fan,2600,Electricals,Electricals,2,2600.0
Table Top Tilting Grinder 2 Ltr,46728,Grinders,Grinders,6,46728.0
Table Top Wet Grinder 2 Ltr,683928,Grinders,Grinders,208,687232.0
Table Top Wet Grinder 3Ltr,9500,Grinders,Grinders,1,9500.0
Tea & Milk Steamer,12500,Kitchen,Kitchen,1,12500.0
Tea can 10 ltrs,1500,Kitchen,Kitchen,6,9000.0
Tiffen Set,48000,Kitchen,Kitchen,12,48000.0
Tiffen Set + Idli Box +2 burner stove,11200,Kitchen,Kitchen,1,11200.0
TIFFEN SET + MS STOVE 2 BURNER,4000,Kitchen,Kitchen,1,4000.0
Titan Agri Chain Saw,36000,Agriculture,Agriculture,3,36000.0
Tree plant Saplings,100000,Agriculture,Agriculture,10000,100000.0
Two Wheeler,1138274,Automotive,Automotive,17,1138274.0
Water Hose -Braided,8000,Agriculture,Agriculture,1,8000.0
Weighing Scale+ Bicycle+Basket for Fish Vendor,20000,Bicycle & Tricycle,Bicycle & Tricycle,1,20000.0
Wet Grinder 2 Ltr (Hgt),67968,Grinders,Grinders,8,67968.0
Wet Grinder 3 Ltrs,47790,Grinders,Grinders,6,95580.0
Wet Grinder 5 Ltrs,57348,Grinders,Grinders,3,57348.0
Wet Grinder Floor Model 2 Ltr,188328,Grinders,Grinders,28,188328.0
Wood Saw Machine (P),18600,Agriculture,Agriculture,2,18600.0
